Kind,Name,CountLineCode,SumCyclomatic
File,"TestFixedOrderComparator.java",137,20
File,"TestFixedSizeList.java",32,7
File,"TestFixedSizeMap.java",31,7
File,"TestFixedSizeSortedMap.java",32,7
File,"TestFlat3Map.java",56,14
File,"TestHashBag.java",22,5
File,"TestHashBag.java",19,4
File,"TestHashedMap.java",22,5
File,"TestIdentityMap.java",78,9
File,"TestIteratorChain.java",106,16
File,"TestIteratorUtils.java",498,73
File,"TestLRUMap.java",154,11
File,"TestLRUMap.java",118,15
File,"TestLazyMap.java",45,7
File,"TestLazySortedMap.java",66,11
File,"TestLinkedList.java",128,22
File,"TestLinkedMap.java",195,39
File,"TestListIteratorWrapper.java",76,13
File,"TestListOrderedMap.java",141,35
File,"TestListOrderedSet.java",116,15
File,"TestListUtils.java",99,17
File,"TestLoopingIterator.java",117,13
File,"TestMapUtils.java",494,48
File,"TestMultiHashMap.java",150,35
File,"TestMultiKey.java",65,8
File,"TestNodeCachingLinkedList.java",96,10
File,"TestNullComparator.java",59,10
File,"TestObjectArrayIterator.java",79,18
File,"TestObjectArrayListIterator.java",63,13
File,"TestObjectArrayListIterator2.java",28,7
File,"TestPredicateUtils.java",630,112
File,"TestPredicatedBag.java",80,15
File,"TestPredicatedBuffer.java",60,12
File,"TestPredicatedCollection.java",86,15
File,"TestPredicatedList.java",95,15
File,"TestPredicatedMap.java",84,13
File,"TestPredicatedSet.java",75,13
File,"TestPredicatedSortedBag.java",63,12
File,"TestPredicatedSortedMap.java",63,11
File,"TestPredicatedSortedSet.java",83,13
File,"TestPriorityBuffer.java",238,43
File,"TestReferenceMap.java",60,11
File,"TestReferenceMap.java",60,11
File,"TestReverseComparator.java",42,5
File,"TestSequencedHashMap.java",124,21
File,"TestSetUniqueList.java",202,24
File,"TestSetUtils.java",83,15
File,"TestSingletonIterator.java",66,10
File,"TestSingletonListIterator.java",89,11
File,"TestStaticBucketMap.java",28,5
File,"TestStaticBucketMap.java",28,5
File,"TestTiedMapEntry.java",47,6
File,"TestTransformedBag.java",33,6
File,"TestTransformedBuffer.java",32,5
File,"TestTransformedCollection.java",67,13
File,"TestTransformedList.java",77,10
File,"TestTransformedMap.java",57,7
File,"TestTransformedSet.java",49,9
File,"TestTransformedSortedBag.java",31,6
File,"TestTransformedSortedMap.java",63,9
File,"TestTransformedSortedSet.java",42,7
File,"TestTransformerUtils.java",310,48
File,"TestTreeBag.java",40,6
File,"TestTreeBag.java",44,7
File,"TestTreeBidiMap.java",36,9
File,"TestTreeMap.java",29,6
File,"TestTypedBag.java",73,13
File,"TestTypedCollection.java",45,6
File,"TestTypedSortedBag.java",55,10
File,"TestTypedSortedSet.java",60,11
File,"TestUnboundedFifoBuffer.java",69,15
File,"TestUnboundedFifoBuffer.java",68,15
File,"TestUniqueFilterIterator.java",55,8
File,"TestUnmodifiableBidiMap.java",48,12
File,"TestUnmodifiableCollection.java",42,9
File,"TestUnmodifiableIterator.java",41,8
File,"TestUnmodifiableList.java",110,23
File,"TestUnmodifiableListIterator.java",47,10
File,"TestUnmodifiableMap.java",47,11
File,"TestUnmodifiableMapEntry.java",53,10
File,"TestUnmodifiableMapIterator.java",56,11
File,"TestUnmodifiableOrderedBidiMap.java",55,14
File,"TestUnmodifiableOrderedMap.java",48,11
File,"TestUnmodifiableOrderedMapIterator.java",60,11
File,"TestUnmodifiableSet.java",32,7
File,"TestUnmodifiableSortedBidiMap.java",55,14
File,"TestUnmodifiableSortedMap.java",48,11
File,"TestUnmodifiableSortedSet.java",85,17
File,"TiedMapEntry.java",45,14
File,"TransformIterator.java",46,12
File,"TransformedBag.java",32,7
File,"TransformedBuffer.java",21,5
File,"TransformedCollection.java",37,8
File,"TransformedList.java",65,16
